Category,Level,Iteration,Configuration,Good Proposals,Bad Proposals,Max Attempts
1_ball,00008,02,higher_time_scale,3,5,9794
1_ball,00008,02,higher_elasticity,5,5,3158
1_ball,00008,02,lower_space_iterations,5,5,9675
1_ball,00008,02,lower_time_scale,4,5,9314
1_ball,00008,02,lower_friction,3,5,8927
1_ball,00008,02,higher_friction,2,5,4629
1_ball,00008,02,lower_gravity,2,5,8929
1_ball,00008,02,higher_space_iterations,4,5,6977
1_ball,00008,02,lower_elasticity,4,5,7587
1_ball,00008,02,default,4,5,6052
1_ball,00008,03,lower_density,5,5,178
1_ball,00008,03,higher_gravity,5,5,170
1_ball,00008,03,higher_density,5,5,20
1_ball,00008,03,higher_time_scale,5,5,180
1_ball,00008,03,higher_elasticity,5,5,141
1_ball,00008,03,lower_space_iterations,5,5,160
1_ball,00008,03,lower_time_scale,5,5,123
1_ball,00008,03,lower_friction,5,5,172
1_ball,00008,03,higher_friction,5,5,145
1_ball,00008,03,lower_gravity,5,5,109
1_ball,00008,03,higher_space_iterations,5,5,216
1_ball,00008,03,lower_elasticity,5,5,75
1_ball,00008,03,default,5,5,47
1_ball,00008,04,lower_density,5,5,6306
1_ball,00008,04,higher_gravity,5,5,5712
1_ball,00008,04,higher_density,5,5,7571
1_ball,00008,04,higher_time_scale,5,5,6029
1_ball,00008,04,higher_elasticity,5,5,64
1_ball,00008,04,lower_space_iterations,3,5,4642
1_ball,00008,04,lower_time_scale,5,5,6197
1_ball,00008,04,lower_friction,3,5,8785
1_ball,00008,04,higher_friction,4,5,8651
1_ball,00008,04,lower_gravity,5,5,6037
1_ball,00008,04,higher_space_iterations,4,5,9855
1_ball,00008,04,lower_elasticity,5,5,7370
1_ball,00008,04,default,4,5,8979
1_ball,00009,00,lower_density,5,5,640
1_ball,00009,00,higher_gravity,5,5,1029
1_ball,00009,00,higher_density,5,5,907
1_ball,00009,00,higher_time_scale,5,5,1378
1_ball,00009,00,higher_elasticity,5,5,598
1_ball,00009,00,lower_space_iterations,5,5,2204
1_ball,00009,00,lower_time_scale,5,5,938
1_ball,00009,00,lower_friction,5,5,304
1_ball,00009,00,higher_friction,5,5,1759
1_ball,00009,00,lower_gravity,5,5,574
1_ball,00009,00,higher_space_iterations,5,5,1368
1_ball,00009,00,lower_elasticity,5,5,1999
1_ball,00009,00,default,5,5,749
1_ball,00009,01,lower_density,5,5,463
1_ball,00009,01,higher_gravity,5,5,892
1_ball,00009,01,higher_density,5,5,445
1_ball,00009,01,higher_time_scale,5,5,458
1_ball,00009,01,higher_elasticity,5,5,853
